id,title,release_date,budget,revenue,budget_clean,revenue_clean,release_date_clean,release_year,release_month,budget_missing_flag,revenue_missing_flag,suspicious_flag,financial_status
16766,Japan Sinks,15-07-2006,0,47636016.0,,47636016.0,2006-07-15,2006.0,7.0,True,False,True,Revenue Only
250895,Ivan Tsarevich & the Grey Wolf 2,26-12-2013,0,18315000.0,,18315000.0,2013-12-26,2013.0,12.0,True,False,True,Revenue Only
370545,Ivan Tsarevich & the Grey Wolf 3,01/01/2016,0,9409000.0,,9409000.0,2016-01-01,2016.0,1.0,True,False,True,Revenue Only
329981,Shut In,11-11-2016,0,13082071.0,,13082071.0,2016-11-11,2016.0,11.0,True,False,True,Revenue Only
378064,A Silent Voice,2016-09-17,0,19606617.0,,19606617.0,2016-09-17,2016.0,9.0,True,False,True,Revenue Only
384682,Office Christmas Party,2016-11-25,,114501299.0,,114501299.0,2016-11-25,2016.0,11.0,True,False,True,Revenue Only
259695,Live by Night,12/25/2016,,22678555.0,,22678555.0,2016-12-25,2016.0,12.0,True,False,True,Revenue Only
121173,Voracious,05-09-2012,0,34659.0,,34659.0,2012-05-09,2012.0,5.0,True,False,True,Revenue Only
422603,Aanandam,2016-10-21,0,2300000.0,,2300000.0,2016-10-21,2016.0,10.0,True,False,True,Revenue Only
381374,Action Hero Biju,2016-02-04,,2500000.0,,2500000.0,2016-02-04,2016.0,2.0,True,False,True,Revenue Only
47121,The Priest,01-05-1978,0,302553.0,,302553.0,1978-01-05,1978.0,1.0,True,False,True,Revenue Only
111708,The Tobacconist of Vallecas,09-04-1987,0,312010.0,,312010.0,1987-09-04,1987.0,9.0,True,False,True,Revenue Only
98596,Overdose,09/04/1983,0,1334173.0,,1334173.0,1983-09-04,1983.0,9.0,True,False,True,Revenue Only
115903,Colegas,1982-10-25,0,646714.0,,646714.0,1982-10-25,1982.0,10.0,True,False,True,Revenue Only
114051,Candy Razors,06-10-1980,0,680224.0,,680224.0,1980-06-10,1980.0,6.0,True,False,True,Revenue Only
115894,The deputy,20-10-1978,0,631083.0,,631083.0,1978-10-20,1978.0,10.0,True,False,True,Revenue Only
334522,Alone in Berlin,09/29/2016,0,33125.0,,33125.0,2016-09-29,2016.0,9.0,True,False,True,Revenue Only
266500,Dr. Cabbie,19-09-2014,0,223003.0,,223003.0,2014-09-19,2014.0,9.0,True,False,True,Revenue Only
167449,The Guillotines,12/20/2012,0,5290.0,,5290.0,2012-12-20,2012.0,12.0,True,False,True,Revenue Only
388399,Patriots Day,12/12/2016,0,50548152.0,,50548152.0,2016-12-12,2016.0,12.0,True,False,True,Revenue Only
324542,Sleepless,12-01-2017,0,32540674.0,,32540674.0,2017-12-01,2017.0,12.0,True,False,True,Revenue Only
340837,A Cure for Wellness,2017-02-15,,26559557.0,,26559557.0,2017-02-15,2017.0,2.0,True,False,True,Revenue Only
134680,Billy Gardell: Halftime,2011-02-05,0,60.0,,60.0,2011-02-05,2011.0,2.0,True,False,True,Revenue Only
377263,Frantz,2016-09-07,0,880474.0,,880474.0,2016-09-07,2016.0,9.0,True,False,True,Revenue Only
374205,One Piece Film: GOLD,2016-07-23,0,66207073.0,,66207073.0,2016-07-23,2016.0,7.0,True,False,True,Revenue Only
416477,The Big Sick,23-06-2017,0,52620184.0,,52620184.0,2017-06-23,2017.0,6.0,True,False,True,Revenue Only
274857,King Arthur: Legend of the Sword,2017-04-27,0,146175066.0,,146175066.0,2017-04-27,2017.0,4.0,True,False,True,Revenue Only
321612,Beauty and the Beast,2017-03-16,,1262886337.0,,1262886337.0,2017-03-16,2017.0,3.0,True,False,True,Revenue Only
297160,XX,02/17/2017,0,30911.0,,30911.0,2017-02-17,2017.0,2.0,True,False,True,Revenue Only
413882,Ok Jaanu,03-01-2017,0,345872.0,,345872.0,2017-03-01,2017.0,3.0,True,False,True,Revenue Only
346681,Wilson,2017-03-24,0,653951.0,,653951.0,2017-03-24,2017.0,3.0,True,False,True,Revenue Only
331075,Twilight Online,2014-09-04,0,496000.0,,496000.0,2014-09-04,2014.0,9.0,True,False,True,Revenue Only
437372,The Man Who Was Too Free,02/23/2017,0,77156.0,,77156.0,2017-02-23,2017.0,2.0,True,False,True,Revenue Only
294992,The Taking of Tiger Mountain,12/24/2014,0,228984.0,,228984.0,2014-12-24,2014.0,12.0,True,False,True,Revenue Only
271826,An Eye for Beauty,05/15/2014,0,40000.0,,40000.0,2014-05-15,2014.0,5.0,True,False,True,Revenue Only
57005,Eternal Summer,10/13/2006,,254000.0,,254000.0,2006-10-13,2006.0,10.0,True,False,True,Revenue Only
363126,Berlin Syndrome,25-05-2017,0,201719.0,,201719.0,2017-05-25,2017.0,5.0,True,False,True,Revenue Only
371447,Lovesong,2017-02-17,0,6700.0,,6700.0,2017-02-17,2017.0,2.0,True,False,True,Revenue Only
396109,Gary Gulman: It's About Time,01-05-2016,0,500.0,,500.0,2016-01-05,2016.0,1.0,True,False,True,Revenue Only
52623,Missing,01/01/2007,0,1.0,,1.0,2007-01-01,2007.0,1.0,True,False,True,Revenue Only
396263,Gantz:O,2016-10-14,0,2238600.0,,2238600.0,2016-10-14,2016.0,10.0,True,False,True,Revenue Only
109080,Fist of the North Star: Legend of Raoh - Chapter of Death in Love,2006-03-11,0,862.0,,862.0,2006-03-11,2006.0,3.0,True,False,True,Revenue Only
336000,The Glass Castle,2017-08-10,0,9705840.0,,9705840.0,2017-08-10,2017.0,8.0,True,False,True,Revenue Only
224113,Zombie Fever,14-08-2013,0,750000.0,,750000.0,2013-08-14,2013.0,8.0,True,False,True,Revenue Only
410117,Lady Macbeth,20-01-2017,0,923.0,,923.0,2017-01-20,2017.0,1.0,True,False,True,Revenue Only
382591,Two Is a Family,12/07/2016,0,1447740.0,,1447740.0,2016-12-07,2016.0,12.0,True,False,True,Revenue Only
367147,Buster's Mal Heart,28-04-2017,0,73121.0,,73121.0,2017-04-28,2017.0,4.0,True,False,True,Revenue Only
126889,Alien: Covenant,2017-05-09,,232380243.0,,232380243.0,2017-05-09,2017.0,5.0,True,False,True,Revenue Only
401546,The Dinner,2017-05-05,0,1323312.0,,1323312.0,2017-05-05,2017.0,5.0,True,False,True,Revenue Only
437031,Rescue Under Fire,03/10/2017,0,5000000.0,,5000000.0,2017-03-10,2017.0,3.0,True,False,True,Revenue Only
13841,Rad,21-03-1986,0,2015882.0,,2015882.0,1986-03-21,1986.0,3.0,True,False,True,Revenue Only
85548,Windwalker,1980-12-12,0,18.0,,18.0,1980-12-12,1980.0,12.0,True,False,True,Revenue Only
14611,Ultimate Avengers 2,08-08-2006,,7900000.0,,7900000.0,2006-08-08,2006.0,8.0,True,False,True,Revenue Only
15982,The Legend of Billie Jean,1985-07-19,0,3099497.0,,3099497.0,1985-07-19,1985.0,7.0,True,False,True,Revenue Only
396810,The Last Word,03-03-2017,0,1783421.0,,1783421.0,2017-03-03,2017.0,3.0,True,False,True,Revenue Only
398929,Alibi.com,2017-02-15,0,222430.0,,222430.0,2017-02-15,2017.0,2.0,True,False,True,Revenue Only
26452,Hercules,1983-08-12,0,10676194.0,,10676194.0,1983-08-12,1983.0,8.0,True,False,True,Revenue Only
329135,O Kadhal Kanmani,17-04-2015,0,5100000.0,,5100000.0,2015-04-17,2015.0,4.0,True,False,True,Revenue Only
21778,RRRrrrr!!!,01/28/2004,,14054361.0,,14054361.0,2004-01-28,2004.0,1.0,True,False,True,Revenue Only
66085,Sky. Plane. Girl.,09/02/2002,0,314195.0,,314195.0,2002-09-02,2002.0,9.0,True,False,True,Revenue Only
283591,The Secret Scripture,11/04/2016,0,152761.0,,152761.0,2016-11-04,2016.0,11.0,True,False,True,Revenue Only
322487,Spark: A Space Tail,04/14/2017,0,116873.0,,116873.0,2017-04-14,2017.0,4.0,True,False,True,Revenue Only
268531,Captain Underpants: The First Epic Movie,06/01/2017,0,110824373.0,,110824373.0,2017-06-01,2017.0,6.0,True,False,True,Revenue Only
413998,My Cousin Rachel,08-06-2017,,2676077.0,,2676077.0,2017-08-06,2017.0,8.0,True,False,True,Revenue Only
378108,In This Corner of the World,11/12/2016,,19204593.0,,19204593.0,2016-11-12,2016.0,11.0,True,False,True,Revenue Only
425751,The Hero,06/09/2017,0,3384747.0,,3384747.0,2017-06-09,2017.0,6.0,True,False,True,Revenue Only
